ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Gst ( goods and service tax ) return type,Payer eligible for gst ( goods and service tax ) registration,Gst ( goods and service tax ) payers registered before due date,Gst ( goods and service tax ) payers registered after due date
96,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202103,"June, 2021",GSTR-3,85686,56293,31574
97,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202104,"July, 2021",GSTR-1,56418,18771,34283
98,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202104,"July, 2021",GSTR-3,56418,42435,15650
99,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021",GSTR-1,59030,19710,35105
100,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021",GSTR-3,59030,44923,15612
101,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202106,"September, 2021",GSTR-1,93037,37652,47754
102,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202106,"September, 2021",GSTR-3,93037,74661,19464
103,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202107,"October, 2021",GSTR-1,60457,23955,31636
104,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202107,"October, 2021",GSTR-3,60457,48475,12689
105,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202108,"November, 2021",GSTR-1,62407,43685,13534
106,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202108,"November, 2021",GSTR-3,62407,49219,13683
107,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021",GSTR-1,99346,39266,50776
108,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021",GSTR-3,99346,81067,18218
109,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202110,"January, 2022",GSTR-1,63719,28448,29196
110,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202110,"January, 2022",GSTR-3,63719,50788,12795
111,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022",GSTR-1,65133,48258,10027
112,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022",GSTR-3,65133,52148,12820
113,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202112,"March, 2022",GSTR-1,104274,37723,52244
114,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202112,"March, 2022",GSTR-3,104274,78639,22894
115,India,1,Jammu And Kashmir,2022,"Financial Year (Apr - Mar), 2022",202201,"April, 2022",GSTR-1,66338,24748,31920
116,India,1,Jammu And Kashmir,2022,"Financial Year (Apr - Mar), 2022",202201,"April, 2022",GSTR-3,66338,54305,9083
117,India,1,Jammu And Kashmir,2022,"Financial Year (Apr - Mar), 2022",202202,"May, 2022",GSTR-1,68361,28244,26785
118,India,1,Jammu And Kashmir,2022,"Financial Year (Apr - Mar), 2022",202202,"May, 2022",GSTR-3,68361,53607,8354
119,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017",GSTR-1,53013,41795,6826
120,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017",GSTR-3,53013,31134,19988
