ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Gst ( goods and service tax ) return type,Payer eligible for gst ( goods and service tax ) registration,Gst ( goods and service tax ) payers registered before due date,Gst ( goods and service tax ) payers registered after due date
2438,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",202006,"September, 2020",GSTR-3,242455,163684,59374
2439,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",202007,"October, 2020",GSTR-1,117700,20638,60269
2440,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",202007,"October, 2020",GSTR-3,245898,170880,55076
2441,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",202008,"November, 2020",GSTR-1,115490,21060,60979
2442,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",202008,"November, 2020",GSTR-3,247799,178345,50711
2443,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",202009,"December, 2020",GSTR-1,248265,137989,70735
2444,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",202009,"December, 2020",GSTR-3,248265,185905,46169
2445,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",202010,"January, 2021",GSTR-1,136681,32187,76494
2446,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",202010,"January, 2021",GSTR-3,136662,73090,47509
2447,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",202011,"February, 2021",GSTR-1,130520,36811,74585
2448,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",202011,"February, 2021",GSTR-3,130439,73090,50370
2449,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",202012,"March, 2021",GSTR-1,245647,80693,136903
2450,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",202012,"March, 2021",GSTR-3,245647,165743,72632
2451,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202101,"April, 2021",GSTR-1,149317,14755,117252
2452,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202101,"April, 2021",GSTR-3,149317,26484,115859
2453,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202102,"May, 2021",GSTR-1,149659,12778,119731
2454,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202102,"May, 2021",GSTR-3,149659,27929,115131
2455,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202103,"June, 2021",GSTR-1,249952,57765,163380
2456,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202103,"June, 2021",GSTR-3,249952,142507,97686
2457,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202104,"July, 2021",GSTR-1,151431,41423,90615
2458,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202104,"July, 2021",GSTR-3,151431,99495,42556
2459,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021",GSTR-1,154416,44580,90064
2460,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021",GSTR-3,154416,103700,41665
2461,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202106,"September, 2021",GSTR-1,259264,94071,132764
2462,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202106,"September, 2021",GSTR-3,259264,188167,57851
2463,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202107,"October, 2021",GSTR-1,153178,54404,78462
2464,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202107,"October, 2021",GSTR-3,153178,108804,33845
2465,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202108,"November, 2021",GSTR-1,156106,103692,32498
2466,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202108,"November, 2021",GSTR-3,156106,110696,34800
2467,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021",GSTR-1,266513,96956,135965
2468,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021",GSTR-3,266513,198120,51955
2469,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202110,"January, 2022",GSTR-1,155103,60860,75127
2470,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202110,"January, 2022",GSTR-3,155103,109017,35458
2471,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022",GSTR-1,156855,107872,29249
2472,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022",GSTR-3,156855,108930,37052
2473,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202112,"March, 2022",GSTR-1,270589,91709,136929
2474,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",202112,"March, 2022",GSTR-3,270589,186215,60114
2475,India,21,Odisha,2022,"Financial Year (Apr - Mar), 2022",202201,"April, 2022",GSTR-1,158626,58412,73297
2476,India,21,Odisha,2022,"Financial Year (Apr - Mar), 2022",202201,"April, 2022",GSTR-3,158626,118469,21175
2477,India,21,Odisha,2022,"Financial Year (Apr - Mar), 2022",202202,"May, 2022",GSTR-1,160653,64351,62684
2478,India,21,Odisha,2022,"Financial Year (Apr - Mar), 2022",202202,"May, 2022",GSTR-3,160653,115438,18893
2479,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017",GSTR-1,83399,56262,15924
2480,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017",GSTR-3,83399,34671,44477
2481,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017",GSTR-1,37862,25395,3681
2482,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017",GSTR-3,90219,26288,58702
2483,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",GSTR-1,93983,60376,20395
2484,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",GSTR-3,93983,30665,57625
2485,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",GSTR-1,36736,25596,4271
2486,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",GSTR-3,87850,34199,47687
2487,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201708,"November, 2017",GSTR-1,37342,25655,4873
2488,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201708,"November, 2017",GSTR-3,90015,41022,41541
2489,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017",GSTR-1,90937,57652,21571
2490,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017",GSTR-3,90937,48492,34573
2491,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018",GSTR-1,37890,24703,5771
2492,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018",GSTR-3,92590,49384,34660
2493,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018",GSTR-1,37957,24210,6359
2494,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018",GSTR-3,93525,49195,35651
2495,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018",GSTR-1,94349,54166,27083
2496,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018",GSTR-3,94349,43008,42471
2497,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018",GSTR-1,50487,23163,9162
2498,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018",GSTR-3,94342,25807,60588
2499,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201802,"May, 2018",GSTR-1,53177,22959,9702
2500,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201802,"May, 2018",GSTR-3,98062,49453,38234
2501,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201803,"June, 2018",GSTR-1,98284,50398,34454
2502,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201803,"June, 2018",GSTR-3,98284,50933,38082
2503,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201804,"July, 2018",GSTR-1,50949,21181,12047
2504,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201804,"July, 2018",GSTR-3,99303,60697,29585
2505,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018",GSTR-1,49380,19103,14251
2506,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018",GSTR-3,100790,51304,40103
2507,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201806,"September, 2018",GSTR-1,101382,35766,52186
2508,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201806,"September, 2018",GSTR-3,101382,59609,32741
2509,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201807,"October, 2018",GSTR-1,47462,6045,27837
2510,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201807,"October, 2018",GSTR-3,101856,51189,42239
2511,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201808,"November, 2018",GSTR-1,45806,9865,24064
2512,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201808,"November, 2018",GSTR-3,101556,57598,35461
2513,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018",GSTR-1,101564,15012,74484
2514,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018",GSTR-3,101564,55863,37834
2515,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201810,"January, 2019",GSTR-1,42627,10109,24094
2516,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201810,"January, 2019",GSTR-3,99909,51529,42907
2517,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019",GSTR-1,42175,9521,24734
2518,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019",GSTR-3,100881,62422,32771
2519,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201812,"March, 2019",GSTR-1,102281,11481,79244
2520,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",201812,"March, 2019",GSTR-3,102281,41207,54650
2521,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",GSTR-1,63451,7987,29281
2522,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",GSTR-3,102946,49906,45112
2523,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201902,"May, 2019",GSTR-1,60187,8525,28930
2524,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201902,"May, 2019",GSTR-3,103880,57001,38684
2525,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201903,"June, 2019",GSTR-1,104773,27682,65271
2526,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201903,"June, 2019",GSTR-3,104773,59363,36962
2527,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019",GSTR-1,53849,8081,29785
2528,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019",GSTR-3,106003,65499,31707
2529,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201905,"August, 2019",GSTR-1,52544,8449,29635
2530,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201905,"August, 2019",GSTR-3,106926,59015,38877
2531,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201906,"September, 2019",GSTR-1,107458,21696,73566
2532,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201906,"September, 2019",GSTR-3,107458,52920,45695
2533,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201907,"October, 2019",GSTR-1,51279,7836,30800
2534,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201907,"October, 2019",GSTR-3,107867,58652,40813
2535,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201908,"November, 2019",GSTR-1,48984,10319,28599
2536,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201908,"November, 2019",GSTR-3,106953,74020,26170
2537,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201909,"December, 2019",GSTR-1,105112,56144,40392
2538,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201909,"December, 2019",GSTR-3,105112,62580,38368
2539,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020",GSTR-1,46049,17226,21471
2540,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020",GSTR-3,104718,74888,26509
2541,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020",GSTR-1,45889,25407,13152
2542,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020",GSTR-3,105608,67198,34809
2543,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",GSTR-1,107069,59043,35698
2544,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",GSTR-3,107069,5624,96979
2545,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202001,"April, 2020",GSTR-1,106663,25514,15886
2546,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202001,"April, 2020",GSTR-3,106914,9658,91499
2547,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202002,"May, 2020",GSTR-1,97781,23348,18142
2548,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202002,"May, 2020",GSTR-3,106827,20125,81217
2549,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",GSTR-1,107995,33529,63275
2550,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",GSTR-3,107995,34895,67411
2551,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202004,"July, 2020",GSTR-1,65023,7601,34747
2552,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202004,"July, 2020",GSTR-3,110315,34826,69093
2553,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202005,"August, 2020",GSTR-1,62560,9816,32808
2554,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202005,"August, 2020",GSTR-3,111481,47133,57921
2555,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202006,"September, 2020",GSTR-1,113499,48332,51423
2556,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202006,"September, 2020",GSTR-3,113499,63747,42234
2557,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202007,"October, 2020",GSTR-1,58990,12201,30976
2558,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202007,"October, 2020",GSTR-3,114692,64171,42696
2559,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202008,"November, 2020",GSTR-1,57896,13052,30447
2560,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202008,"November, 2020",GSTR-3,115249,70741,37057
2561,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202009,"December, 2020",GSTR-1,115872,66695,36291
2562,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202009,"December, 2020",GSTR-3,115872,79391,29781
2563,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202010,"January, 2021",GSTR-1,66185,19722,36306
2564,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202010,"January, 2021",GSTR-3,66168,34705,26089
2565,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202011,"February, 2021",GSTR-1,65739,22569,35655
2566,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202011,"February, 2021",GSTR-3,65704,34705,28334
2567,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202012,"March, 2021",GSTR-1,116311,32780,74347
2568,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",202012,"March, 2021",GSTR-3,116311,47068,66775
2569,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202101,"April, 2021",GSTR-1,71837,6699,58125
2570,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202101,"April, 2021",GSTR-3,71837,11893,56716
2571,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202102,"May, 2021",GSTR-1,72505,8983,55894
2572,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202102,"May, 2021",GSTR-3,72505,16369,52248
2573,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202103,"June, 2021",GSTR-1,118891,31455,77293
2574,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202103,"June, 2021",GSTR-3,118891,63999,50506
2575,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202104,"July, 2021",GSTR-1,72813,24169,40942
2576,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202104,"July, 2021",GSTR-3,72813,42853,25752
2577,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021",GSTR-1,74776,26804,39762
2578,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021",GSTR-3,74776,44857,25391
2579,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202106,"September, 2021",GSTR-1,124489,51226,60918
2580,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202106,"September, 2021",GSTR-3,124489,84185,34163
2581,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202107,"October, 2021",GSTR-1,73552,28366,36236
2582,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202107,"October, 2021",GSTR-3,73552,46942,21044
2583,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202108,"November, 2021",GSTR-1,74464,47503,17953
2584,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202108,"November, 2021",GSTR-3,74464,47097,21649
2585,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021",GSTR-1,126646,51242,62136
2586,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021",GSTR-3,126646,87889,31655
2587,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202110,"January, 2022",GSTR-1,72827,34552,29950
2588,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202110,"January, 2022",GSTR-3,72827,47034,20486
2589,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022",GSTR-1,73978,50208,15298
2590,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022",GSTR-3,73978,46293,22464
2591,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202112,"March, 2022",GSTR-1,129555,49378,59826
2592,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",202112,"March, 2022",GSTR-3,129555,76761,39653
2593,India,22,Chhattisgarh,2022,"Financial Year (Apr - Mar), 2022",202201,"April, 2022",GSTR-1,74350,32911,27897
2594,India,22,Chhattisgarh,2022,"Financial Year (Apr - Mar), 2022",202201,"April, 2022",GSTR-3,74350,50760,12811
2595,India,22,Chhattisgarh,2022,"Financial Year (Apr - Mar), 2022",202202,"May, 2022",GSTR-1,75353,35838,22187
2596,India,22,Chhattisgarh,2022,"Financial Year (Apr - Mar), 2022",202202,"May, 2022",GSTR-3,75353,49970,9749
2597,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017",GSTR-1,257308,197192,43136
2598,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017",GSTR-3,257308,106142,148905
2599,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017",GSTR-1,94897,73169,6916
2600,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017",GSTR-3,276943,72970,197059
2601,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",GSTR-1,290350,212157,52958
2602,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",GSTR-3,290350,114822,166047
2603,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",GSTR-1,95518,73937,8162
2604,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",GSTR-3,274212,135768,126996
2605,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201708,"November, 2017",GSTR-1,97097,74302,9166
2606,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201708,"November, 2017",GSTR-3,281366,163840,101808
2607,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017",GSTR-1,286853,205783,55661
2608,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017",GSTR-3,286853,186782,82185
2609,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018",GSTR-1,99962,72633,11318
2610,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018",GSTR-3,294248,185757,88550
2611,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018",GSTR-1,100963,71679,12608
2612,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018",GSTR-3,299740,183727,94922
2613,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018",GSTR-1,304929,201758,71518
2614,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018",GSTR-3,304929,168076,114552
2615,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018",GSTR-1,136612,73253,18260
2616,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018",GSTR-3,307116,104736,182282
2617,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201802,"May, 2018",GSTR-1,144590,72854,19454
2618,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201802,"May, 2018",GSTR-3,319200,193818,98328
2619,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201803,"June, 2018",GSTR-1,322204,194831,91927
2620,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201803,"June, 2018",GSTR-3,322204,196216,99912
2621,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201804,"July, 2018",GSTR-1,141043,67073,26530
2622,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201804,"July, 2018",GSTR-3,325000,224045,76012
2623,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018",GSTR-1,135990,60514,33627
2624,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018",GSTR-3,327986,196206,107764
2625,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201806,"September, 2018",GSTR-1,328946,133295,163932
2626,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201806,"September, 2018",GSTR-3,328946,220025,87528
2627,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201807,"October, 2018",GSTR-1,131546,20376,75037
2628,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201807,"October, 2018",GSTR-3,332480,200845,111039
2629,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201808,"November, 2018",GSTR-1,128868,31991,63529
2630,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201808,"November, 2018",GSTR-3,334405,218058,93608
2631,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018",GSTR-1,335747,52220,252965
2632,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018",GSTR-3,335747,216039,98521
2633,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201810,"January, 2019",GSTR-1,125246,32976,63517
2634,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201810,"January, 2019",GSTR-3,338656,199418,118471
2635,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019",GSTR-1,123206,31273,65354
2636,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019",GSTR-3,341978,242399,78343
2637,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201812,"March, 2019",GSTR-1,346732,38372,273187
2638,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",201812,"March, 2019",GSTR-3,346732,163377,160456
2639,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",GSTR-1,177325,25130,77157
2640,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",GSTR-3,348621,201498,120952
2641,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201902,"May, 2019",GSTR-1,166338,26553,75748
2642,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201902,"May, 2019",GSTR-3,351108,222954,101132
2643,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201903,"June, 2019",GSTR-1,353290,112241,204753
2644,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201903,"June, 2019",GSTR-3,353290,229174,96670
2645,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019",GSTR-1,149791,25018,78154
2646,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019",GSTR-3,356965,245834,82447
2647,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201905,"August, 2019",GSTR-1,145173,25966,77606
2648,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201905,"August, 2019",GSTR-3,358593,225925,104260
2649,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201906,"September, 2019",GSTR-1,359995,80485,243200
2650,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201906,"September, 2019",GSTR-3,359995,199446,132942
2651,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201907,"October, 2019",GSTR-1,142536,22017,82785
2652,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201907,"October, 2019",GSTR-3,361943,219558,115619
2653,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201908,"November, 2019",GSTR-1,138001,28630,77806
2654,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201908,"November, 2019",GSTR-3,362211,274737,62883
2655,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",201909,"December, 2019",GSTR-1,354752,214331,113454
